person_id,age,age_group,individual_income,income_group,household_size,family_structure,vehicles,target_amenity,target_mode
1.5529934004935948e+19,81,Elderly,39193,Moderate,2_person,married_couple,2,Hotel/Hotel and Lodging,Car
3.4430095813264486e+17,63,Elderly,293952,Ultra High,3_person,married_couple,3_plus,Leisure & Wellness/Golf Courses,Car
5.738267163044204e+18,79,Elderly,36711,Moderate,1_person,living_alone,0,Hotel/Hotel and Lodging,Public_transport
7.181693916694632e+18,82,Elderly,37678,Moderate,2_person,married_couple,1,Entertainment/Zoos and Nature Parks,Car
3.515827903844446e+18,58,Senior,32203,Moderate,5_person,married_couple,3_plus,Leisure & Wellness/Gym,Public_transport
4.860430840549467e+18,26,Young Adult,100904,Very High,3_person,nonfamily_single,3_plus,Entertainment/Zoos and Nature Parks,Car
4.323778718510184e+18,35,Adult,8045,Low,5_person,married_couple,0,Entertainment/Zoos and Nature Parks,Walking
3.4288611362791675e+18,43,Middle Age,63487,High,2_person,married_couple,2,Entertainment/Zoos and Nature Parks,Public_transport
3.179330654287409e+18,34,Adult,66989,High,4_person,family_single,2,Hotel/Hotel and Lodging,Car
5.128267454804609e+18,29,Young Adult,70847,High,3_person,nonfamily_single,1,Entertainment/Zoos and Nature Parks,Car
8.997067269834202e+18,31,Adult,75632,High,2_person,married_couple,1,Hotel/Hotel and Lodging,Walking
9.513028572225186e+18,22,Young Adult,0,Debt,5_person,nonfamily_single,1,Leisure & Wellness/Gym,Public_transport
1.1615427917778915e+19,49,Middle Age,36067,Moderate,2_person,married_couple,1,Cultural/Museum,Public_transport
3.5771430007163187e+18,31,Adult,83196,High,2_person,married_couple,2,Cultural/Museum,Car
5.067627870020716e+18,63,Elderly,25253,Low,2_person,married_couple,2,Hotel/Hotel and Lodging,Public_transport
5.413041511993361e+18,58,Senior,102644,Very High,4_person,married_couple,1,Cultural/Museum,Car
1.5433928022121456e+19,27,Young Adult,51863,Moderate,2_person,nonfamily_single,2,Hotel/Hotel and Lodging,Car
5.152484543032161e+18,86,Elderly,25310,Low,2_person,married_couple,1,Leisure & Wellness/Gym,Car
4.726650694574974e+18,39,Adult,91541,Very High,4_person,married_couple,1,Leisure & Wellness/Gym,Walking
3.1990006386452864e+18,53,Senior,58792,Moderate,5_person,family_single,2,Entertainment/Media,Walking
1.2230090946993318e+19,76,Elderly,45242,Moderate,2_person,family_single,1,Entertainment/Zoos and Nature Parks,Car
1.3016442608753367e+19,21,Young Adult,1265,Low,3_person,nonfamily_single,0,Leisure & Wellness/Gym,Walking
1.2171635628452024e+19,88,Elderly,62327,High,1_person,living_alone,1,Leisure & Wellness/Gym,Car
3.0483762564782843e+18,25,Young Adult,91923,Very High,3_person,nonfamily_single,1,Entertainment/Zoos and Nature Parks,Public_transport
4.872170917186962e+18,36,Adult,123774,Ultra High,2_person,nonfamily_single,0,Hotel/Hotel and Lodging,Public_transport
1.5560548554371273e+19,26,Young Adult,64828,High,2_person,nonfamily_single,1,Entertainment/Bowling,Car
1.1053775731793164e+19,62,Elderly,5273,Low,4_person,married_couple,1,Entertainment/Zoos and Nature Parks,Car
3.046829777051923e+18,39,Adult,18081,Low,3_person,family_single,0,Leisure & Wellness/Recreation Industries,Walking
5.900283311620111e+18,50,Middle Age,22728,Low,6_person,nonfamily_single,1,Entertainment/Zoos and Nature Parks,Car
8.813635453815859e+18,41,Middle Age,147644,Ultra High,6_person,married_couple,2,Hotel/Hotel and Lodging,Car
7.584921841420555e+18,59,Senior,17717,Low,2_person,married_couple,2,Hotel/Hotel and Lodging,Public_transport
1.082579549048086e+19,94,Elderly,27909,Low,1_person,living_alone,0,Hotel/Hotel and Lodging,Public_transport
1.1283366573362125e+19,68,Elderly,23132,Low,1_person,living_alone,0,Hotel/Hotel and Lodging,Public_transport
1.4834797480003887e+19,31,Adult,50507,Moderate,3_person,nonfamily_single,2,Leisure & Wellness/Gym,Car
8.007323445721872e+16,72,Elderly,8964,Low,7_plus_person,married_couple,1,Hotel/Hotel and Lodging,Car
6.756395572510174e+18,28,Young Adult,84852,High,2_person,nonfamily_single,1,Leisure & Wellness/Gym,Public_transport
2.4558998098738355e+18,25,Young Adult,0,Debt,4_person,nonfamily_single,0,Entertainment/Spectator Sports,Public_transport
4.0382205885942456e+18,25,Young Adult,37132,Moderate,3_person,married_couple,2,Entertainment/Amusement Park,Car
3.621884011462239e+16,34,Adult,74067,High,6_person,family_single,0,Leisure & Wellness/Recreation Industries,Public_transport
1.310361820770756e+19,43,Middle Age,55894,Moderate,3_person,married_couple,1,Entertainment/Zoos and Nature Parks,Car
1.3504304348734628e+19,38,Adult,59966,Moderate,1_person,living_alone,0,Hotel/Hotel and Lodging,Public_transport
2.072827203002143e+18,35,Adult,14131,Low,4_person,married_couple,2,Entertainment/Zoos and Nature Parks,Walking
9.696684728410366e+18,50,Middle Age,20835,Low,7_plus_person,married_couple,3_plus,Leisure & Wellness/Recreation Industries,Walking
5.20437627219892e+18,23,Young Adult,19448,Low,4_person,nonfamily_single,0,Hotel/Hotel and Lodging,Walking
3.414270983385595e+18,37,Adult,165032,Ultra High,2_person,nonfamily_single,1,Entertainment/Zoos and Nature Parks,Public_transport
1.0752914115319538e+19,38,Adult,30779,Moderate,6_person,family_single,2,Leisure & Wellness/Golf Courses,Car
1.026353339889256e+19,32,Adult,65385,High,3_person,married_couple,1,Hotel/Hotel and Lodging,Car
1.8105825199057056e+19,20,Young Adult,3094,Low,1_person,living_alone,0,Cultural/Art Gallery,Walking
1.2288937812678818e+19,24,Young Adult,7071,Low,4_person,nonfamily_single,3_plus,Cultural/Museum,Walking
1.7786093568798728e+19,36,Adult,89895,High,1_person,living_alone,1,Hotel/Hotel and Lodging,Public_transport
1.196075545397308e+19,69,Elderly,83084,High,3_person,married_couple,1,Leisure & Wellness/Recreation Industries,Car
7.950739380470005e+18,27,Young Adult,0,Debt,1_person,living_alone,0,Cultural/Museum,Walking
7.811483339402862e+18,24,Young Adult,0,Debt,3_person,nonfamily_single,0,Leisure & Wellness/Gym,Walking
7.399798089407805e+18,69,Elderly,2576,Low,2_person,family_single,0,Leisure & Wellness/Recreation Industries,Public_transport
1.800949442301429e+19,41,Middle Age,90913,Very High,4_person,nonfamily_single,2,Cultural/Museum,Car
6.921811015946753e+18,33,Adult,89679,High,4_person,married_couple,1,Cultural/Museum,Walking
1.249711805717019e+19,24,Young Adult,24754,Low,3_person,nonfamily_single,0,Entertainment/Zoos and Nature Parks,Public_transport
5.539447106353107e+18,31,Adult,58638,Moderate,3_person,married_couple,2,Leisure & Wellness/Recreation Industries,Car
4.653637506124759e+18,74,Elderly,24850,Low,1_person,living_alone,1,Entertainment/Zoos and Nature Parks,Car
5.687989724842525e+18,59,Senior,2020,Low,2_person,married_couple,1,Hotel/Hotel and Lodging,Walking
9.154576881644348e+17,26,Young Adult,86437,High,2_person,nonfamily_single,2,Cultural/Art Gallery,Walking
1.3305601427036406e+19,79,Elderly,7323,Low,2_person,married_couple,0,Entertainment/Zoos and Nature Parks,Walking
3.53176145968714e+18,23,Young Adult,3435,Low,3_person,married_couple,2,Entertainment/Zoos and Nature Parks,Car
1.239362303750499e+19,29,Young Adult,185661,Ultra High,1_person,living_alone,0,Entertainment/Zoos and Nature Parks,Walking
9.25229034799839e+18,33,Adult,61887,High,2_person,married_couple,2,Leisure & Wellness/Gym,Walking
6.825873449249918e+16,24,Young Adult,65659,High,4_person,nonfamily_single,0,Leisure & Wellness/Gym,Walking
1.1885797676606054e+18,74,Elderly,13096,Low,1_person,living_alone,0,Entertainment/Zoos and Nature Parks,Public_transport
1.1465564650954792e+18,29,Young Adult,70230,High,2_person,nonfamily_single,1,Leisure & Wellness/Gym,Walking
8.333950457641901e+18,79,Elderly,35423,Moderate,2_person,married_couple,1,Hotel/Hotel and Lodging,Car
5.156779319572679e+18,29,Young Adult,63639,High,2_person,married_couple,0,Leisure & Wellness/Recreation Industries,Walking
5.844687649267275e+18,53,Senior,0,Debt,6_person,married_couple,3_plus,Leisure & Wellness/Gym,Public_transport
1.2472479281305074e+19,74,Elderly,6440,Low,3_person,family_single,1,Hotel/Hotel and Lodging,Public_transport
1.6877915925834367e+19,53,Senior,18566,Low,5_person,married_couple,1,Leisure & Wellness/Gym,Public_transport
5.754177943398432e+18,78,Elderly,15028,Low,1_person,living_alone,0,Cultural/Museum,Walking
5.720233920651493e+18,78,Elderly,159198,Ultra High,2_person,married_couple,1,Entertainment/Zoos and Nature Parks,Car
7.880998816650621e+18,57,Senior,51862,Moderate,2_person,married_couple,2,Entertainment/Zoos and Nature Parks,Walking
1.732052446752013e+19,60,Senior,308404,Ultra High,2_person,married_couple,2,Entertainment/Spectator Sports,Public_transport
1.431764197216002e+19,52,Senior,546488,Ultra High,3_person,married_couple,2,Cultural/Museum,Walking
3.545458423554195e+18,35,Adult,7728,Low,4_person,family_single,0,Cultural/Museum,Car
9.549898984179507e+18,61,Elderly,30943,Moderate,6_person,nonfamily_single,0,Entertainment/Zoos and Nature Parks,Public_transport
1.3873870155647767e+18,58,Senior,0,Debt,4_person,married_couple,1,Hotel/Hotel and Lodging,Public_transport
1.7695615996064432e+19,59,Senior,0,Debt,6_person,married_couple,1,Entertainment/Zoos and Nature Parks,Public_transport
2.309737680612638e+18,27,Young Adult,0,Debt,3_person,nonfamily_single,0,Hotel/Hotel and Lodging,Walking
5.0825693383396704e+17,77,Elderly,290646,Ultra High,1_person,living_alone,0,Leisure & Wellness/Golf Courses,Public_transport
8.830110598261755e+17,20,Young Adult,0,Debt,3_person,nonfamily_single,0,Hotel/Hotel and Lodging,Walking
7.591801323701736e+18,62,Elderly,151265,Ultra High,1_person,living_alone,1,Leisure & Wellness/Gym,Walking
1.15095610042134e+19,65,Elderly,20096,Low,1_person,living_alone,0,Cultural/Museum,Walking
1.2610740661041836e+19,40,Adult,7071,Low,6_person,married_couple,3_plus,Leisure & Wellness/Recreation Industries,Walking
7.524896884822524e+18,25,Young Adult,22728,Low,6_person,nonfamily_single,1,Hotel/Hotel and Lodging,Walking
5.607964775328313e+18,25,Young Adult,0,Debt,3_person,married_couple,2,Cultural/Museum,Public_transport
7.378724387060567e+17,23,Young Adult,0,Debt,3_person,nonfamily_single,0,Entertainment/Zoos and Nature Parks,Walking
8.79123143679669e+18,70,Elderly,7084,Low,2_person,married_couple,0,Hotel/Hotel and Lodging,Public_transport
8.060667579405885e+18,27,Young Adult,31638,Moderate,2_person,nonfamily_single,0,Leisure & Wellness/Golf Courses,Walking
1.7090521344857915e+19,18,Teen,0,Debt,2_person,family_single,1,Leisure & Wellness/Gym,Car
7.415800732698781e+18,26,Young Adult,65385,High,2_person,nonfamily_single,1,Entertainment/Spectator Sports,Car
1.2931965726836937e+19,46,Middle Age,10314,Low,5_person,married_couple,1,Entertainment/Spectator Sports,Walking
1.0944797264395026e+19,23,Young Adult,36497,Moderate,5_person,nonfamily_single,3_plus,Leisure & Wellness/Gym,Walking
1.1957206631486702e+19,30,Young Adult,101014,Very High,2_person,married_couple,1,Entertainment/Spectator Sports,Car
4.202421501524588e+18,95,Elderly,10124,Low,1_person,living_alone,0,Cultural/Museum,Public_transport
1.3403998568677431e+19,27,Young Adult,0,Debt,2_person,nonfamily_single,0,Entertainment/Zoos and Nature Parks,Public_transport
2.550654862539311e+18,21,Young Adult,20142,Low,3_person,family_single,0,Entertainment/Amusement Park,Public_transport
5.594373062291199e+18,37,Adult,15819,Low,1_person,living_alone,0,Leisure & Wellness/Gym,Car
9.115511894830014e+18,49,Middle Age,48478,Moderate,4_person,married_couple,2,Leisure & Wellness/Gym,Car
1.1592623382465511e+19,70,Elderly,27273,Low,7_plus_person,married_couple,1,Leisure & Wellness/Recreation Industries,Walking
5.58332264697995e+18,35,Adult,48284,Moderate,4_person,nonfamily_single,0,Leisure & Wellness/Gym,Public_transport
1.3946608891235994e+19,46,Middle Age,0,Debt,2_person,married_couple,0,Entertainment/Zoos and Nature Parks,Public_transport
7.86073936644034e+18,35,Adult,633360,Ultra High,4_person,married_couple,1,Entertainment/Zoos and Nature Parks,Walking
1.6750392959559424e+19,89,Elderly,2424,Low,1_person,living_alone,0,Entertainment/Zoos and Nature Parks,Walking
6.116655965369347e+18,27,Young Adult,214,Low,7_plus_person,nonfamily_single,1,Entertainment/Spectator Sports,Car
1.1931494713428945e+19,25,Young Adult,0,Debt,2_person,nonfamily_single,0,Hotel/Hotel and Lodging,Public_transport
3.265865495391265e+18,80,Elderly,11020,Low,1_person,living_alone,0,Hotel/Hotel and Lodging,Public_transport
8.348139188023474e+18,82,Elderly,283191,Ultra High,1_person,living_alone,1,Leisure & Wellness/Gym,Car
7.259169470383973e+17,25,Young Adult,82516,High,5_person,nonfamily_single,1,Leisure & Wellness/Recreation Industries,Walking
1.6367147796684925e+19,36,Adult,1237,Low,2_person,nonfamily_single,1,Entertainment/Zoos and Nature Parks,Walking
1.455301491420085e+19,34,Adult,222231,Ultra High,2_person,nonfamily_single,0,Entertainment/Media,Public_transport
4.631349614339492e+18,24,Young Adult,59425,Moderate,5_person,married_couple,3_plus,Entertainment/Zoos and Nature Parks,Walking
2.6431458927848847e+18,49,Middle Age,0,Debt,4_person,married_couple,2,Leisure & Wellness/Gym,Car
1.1569384846263904e+19,33,Adult,111216,Very High,2_person,married_couple,1,Leisure & Wellness/Gym,Car
5.851119327552709e+18,87,Elderly,58180,Moderate,1_person,living_alone,0,Cultural/Museum,Public_transport
6.966714067982169e+18,23,Young Adult,36100,Moderate,3_person,nonfamily_single,1,Hotel/Hotel and Lodging,Walking
8.489838188173405e+18,52,Senior,0,Debt,5_person,married_couple,1,Entertainment/Zoos and Nature Parks,Walking
4.613024462919874e+18,33,Adult,27909,Low,2_person,nonfamily_single,0,Entertainment/Zoos and Nature Parks,Walking
1.1622180196668529e+19,29,Young Adult,48305,Moderate,4_person,nonfamily_single,3_plus,Hotel/Hotel and Lodging,Public_transport
4.5446808580850657e+18,24,Young Adult,30304,Moderate,3_person,family_single,1,Entertainment/Zoos and Nature Parks,Walking
1.5174850959430477e+18,41,Middle Age,28092,Low,7_plus_person,married_couple,0,Hotel/Hotel and Lodging,Public_transport
7.589579168092156e+18,74,Elderly,46695,Moderate,2_person,married_couple,1,Hotel/Hotel and Lodging,Car
8.468487985241129e+18,37,Adult,371221,Ultra High,1_person,living_alone,0,Leisure & Wellness/Recreation Industries,Walking
1.7579810215380589e+19,62,Elderly,6060,Low,2_person,married_couple,1,Leisure & Wellness/Recreation Industries,Walking
6.286976536645818e+18,65,Elderly,49497,Moderate,1_person,living_alone,0,Entertainment/Zoos and Nature Parks,Public_transport
1.391057019104969e+19,35,Adult,76327,High,2_person,nonfamily_single,2,Leisure & Wellness/Gym,Walking
1.3155715540330007e+18,34,Adult,166063,Ultra High,3_person,married_couple,2,Leisure & Wellness/Gym,Car
1.7975648935590904e+19,46,Middle Age,9091,Low,1_person,living_alone,0,Entertainment/Spectator Sports,Public_transport
6.351137563278084e+18,56,Senior,19899,Low,1_person,living_alone,1,Hotel/Hotel and Lodging,Public_transport
1.3360912256871285e+19,20,Young Adult,0,Debt,2_person,nonfamily_single,0,Hotel/Hotel and Lodging,Car
4.207212587718177e+18,38,Adult,0,Debt,7_plus_person,nonfamily_single,3_plus,Leisure & Wellness/Gym,Car
1.0062352983653902e+19,22,Young Adult,0,Debt,2_person,nonfamily_single,2,Entertainment/Zoos and Nature Parks,Public_transport
1.7647404026915328e+19,33,Adult,28474,Low,3_person,married_couple,2,Cultural/Art Gallery,Walking
1.4733413669970442e+19,26,Young Adult,92830,Very High,2_person,nonfamily_single,1,Hotel/Hotel and Lodging,Walking
1.290792100372044e+19,79,Elderly,6762,Low,2_person,nonfamily_single,0,Leisure & Wellness/Gym,Public_transport
1.7026284177408328e+19,72,Elderly,0,Debt,4_person,nonfamily_single,1,Leisure & Wellness/Gym,Car
9.851213775051293e+18,33,Adult,36100,Moderate,2_person,nonfamily_single,0,Cultural/Library,Public_transport
1.398951476156175e+19,30,Young Adult,0,Debt,4_person,nonfamily_single,3_plus,Hotel/Hotel and Lodging,Car
6.99426703904561e+18,78,Elderly,6854,Low,2_person,married_couple,1,Hotel/Hotel and Lodging,Car
1.6138291857655183e+19,34,Adult,101065,Very High,2_person,nonfamily_single,2,Hotel/Hotel and Lodging,Car
7.80896609614181e+18,37,Adult,185661,Ultra High,3_person,nonfamily_single,3_plus,Entertainment/Spectator Sports,Walking
1.0138879526420646e+19,37,Adult,0,Debt,5_person,married_couple,3_plus,Entertainment/Zoos and Nature Parks,Car
1.1442227880529326e+19,21,Young Adult,68790,High,1_person,living_alone,1,Leisure & Wellness/Recreation Industries,Walking
1.6951572106297962e+19,26,Young Adult,26263,Low,4_person,nonfamily_single,0,Entertainment/Media,Walking
7.4818464413918e+18,32,Adult,158190,Ultra High,4_person,married_couple,1,Entertainment/Zoos and Nature Parks,Walking
9.40724617352915e+18,72,Elderly,35331,Moderate,3_person,married_couple,0,Leisure & Wellness/Recreation Industries,Car
8.069467475294921e+17,19,Young Adult,0,Debt,3_person,nonfamily_single,0,Leisure & Wellness/Recreation Industries,Walking
2.7166772147638103e+18,46,Middle Age,99019,Very High,1_person,living_alone,1,Entertainment/Zoos and Nature Parks,Car
1.1910376934085538e+19,30,Young Adult,21609,Low,3_person,nonfamily_single,3_plus,Entertainment/Zoos and Nature Parks,Car
8.116368143117997e+18,40,Adult,141420,Ultra High,2_person,nonfamily_single,1,Hotel/Hotel and Lodging,Car
1.217296951410946e+19,36,Adult,25253,Low,3_person,family_single,0,Entertainment/Spectator Sports,Public_transport
7.20776170182168e+18,32,Adult,159602,Ultra High,2_person,married_couple,1,Leisure & Wellness/Recreation Industries,Car
1.062269281168809e+18,55,Senior,110207,Very High,1_person,living_alone,1,Cultural/Art Gallery,Public_transport
1.02031754304438e+19,26,Young Adult,1010,Low,2_person,married_couple,1,Hotel/Hotel and Lodging,Public_transport
1.7968087311072783e+18,33,Adult,39020,Moderate,3_person,married_couple,1,Entertainment/Zoos and Nature Parks,Walking
1.4751937343899156e+19,19,Young Adult,0,Debt,1_person,living_alone,1,Hotel/Hotel and Lodging,Walking
2.5461494188090527e+18,18,Teen,8587,Low,5_person,nonfamily_single,0,Leisure & Wellness/Gym,Car
2.692333888484893e+18,18,Teen,0,Debt,4_person,married_couple,2,Leisure & Wellness/Gym,Walking
5.29202685475149e+18,34,Adult,0,Debt,4_person,married_couple,1,Leisure & Wellness/Recreation Industries,Walking
2.070342452707116e+18,50,Middle Age,6655,Low,3_person,family_single,0,Leisure & Wellness/Gym,Public_transport
4.438945493558267e+18,52,Senior,34791,Moderate,2_person,family_single,1,Hotel/Hotel and Lodging,Car
3.017788029239038e+18,34,Adult,91243,Very High,2_person,married_couple,2,Entertainment/Zoos and Nature Parks,Public_transport
1.2019545225095514e+19,60,Senior,454565,Ultra High,7_plus_person,married_couple,1,Cultural/Art Gallery,Walking
1.3670388950019551e+19,34,Adult,106065,Very High,4_person,nonfamily_single,2,Leisure & Wellness/Recreation Industries,Car
3.820663975802372e+16,76,Elderly,45242,Moderate,2_person,family_single,1,Entertainment/Spectator Sports,Public_transport
5.295081110802208e+18,19,Young Adult,2062,Low,5_person,nonfamily_single,2,Leisure & Wellness/Recreation Industries,Public_transport
4.314521443741859e+18,74,Elderly,14706,Low,2_person,married_couple,1,Entertainment/Zoos and Nature Parks,Car
8.135207334446675e+18,17,Teen,0,Debt,2_person,family_single,1,Entertainment/Zoos and Nature Parks,Public_transport
1.742734541655303e+18,54,Senior,11284,Low,2_person,family_single,1,Leisure & Wellness/Gym,Walking
1.1918034237219058e+19,25,Young Adult,59039,Moderate,2_person,nonfamily_single,2,Entertainment/Zoos and Nature Parks,Walking
1.7862194361018229e+19,26,Young Adult,12129,Low,3_person,married_couple,2,Leisure & Wellness/Gym,Car
6.666511509167941e+18,60,Senior,19448,Low,5_person,married_couple,1,Entertainment/Spectator Sports,Walking
1.6662754504801556e+19,65,Elderly,8889,Low,7_plus_person,nonfamily_single,0,Cultural/Library,Public_transport
1.7589770507224207e+19,63,Elderly,11449,Low,2_person,married_couple,2,Entertainment/Zoos and Nature Parks,Car
5.6051042028899725e+17,38,Adult,130138,Ultra High,1_person,living_alone,0,Leisure & Wellness/Gym,Public_transport
1.5321839095077329e+19,30,Young Adult,26611,Low,6_person,married_couple,2,Leisure & Wellness/Gym,Walking
1.6667532467022748e+19,83,Elderly,11706,Low,1_person,living_alone,0,Entertainment/Performing Arts,Public_transport
5.092263471210846e+17,82,Elderly,17172,Low,2_person,married_couple,1,Leisure & Wellness/Gym,Walking
1.5375077255326417e+19,54,Senior,110105,Very High,1_person,living_alone,1,Entertainment/Zoos and Nature Parks,Car
8.36534880990381e+18,27,Young Adult,91243,Very High,4_person,nonfamily_single,2,Cultural/Art Gallery,Car
8.702702993135819e+18,87,Elderly,11271,Low,1_person,living_alone,1,Entertainment/Zoos and Nature Parks,Car
1.3344904423095765e+19,25,Young Adult,0,Debt,5_person,nonfamily_single,3_plus,Leisure & Wellness/Gym,Public_transport
2.996550620497246e+18,89,Elderly,16503,Low,2_person,family_single,1,Entertainment/Zoos and Nature Parks,Car
7.503440198233488e+18,54,Senior,60608,High,3_person,family_single,1,Entertainment/Zoos and Nature Parks,Car
9.25229034799839e+18,33,Adult,61887,High,2_person,married_couple,2,Entertainment/Zoos and Nature Parks,Car
6.471074367718777e+18,71,Elderly,9697,Low,2_person,married_couple,0,Leisure & Wellness/Gym,Public_transport
6.723556823575545e+18,32,Adult,58003,Moderate,3_person,married_couple,2,Entertainment/Zoos and Nature Parks,Car
6.079905460412598e+18,37,Adult,61887,High,4_person,married_couple,2,Hotel/Hotel and Lodging,Public_transport
3.672884743129956e+18,20,Young Adult,0,Debt,3_person,nonfamily_single,0,Cultural/Museum,Walking
1.1486108802135673e+19,87,Elderly,19448,Low,2_person,family_single,2,Leisure & Wellness/Gym,Car
1.5068270109145684e+19,27,Young Adult,85875,High,2_person,married_couple,1,Hotel/Hotel and Lodging,Walking
5.65649277540004e+18,27,Young Adult,0,Debt,3_person,nonfamily_single,0,Hotel/Hotel and Lodging,Walking
1.074266710270171e+19,29,Young Adult,52,Low,3_person,family_single,0,Leisure & Wellness/Gym,Walking
1.2295400857205098e+19,90,Elderly,14046,Low,1_person,living_alone,0,Leisure & Wellness/Gym,Car
7.221802745933577e+18,26,Young Adult,91923,Very High,3_person,nonfamily_single,1,Leisure & Wellness/Gym,Car
9.9457283261906e+17,63,Elderly,25373,Low,3_person,family_single,1,Leisure & Wellness/Gym,Public_transport
1.0494846540327334e+19,61,Elderly,158190,Ultra High,1_person,living_alone,1,Leisure & Wellness/Recreation Industries,Public_transport
8.022287101569002e+18,36,Adult,9724,Low,4_person,family_single,1,Hotel/Hotel and Lodging,Walking
1.2658129929669368e+19,33,Adult,0,Debt,4_person,married_couple,2,Leisure & Wellness/Recreation Industries,Car
2.454104419066004e+18,26,Young Adult,32203,Moderate,3_person,married_couple,2,Cultural/Museum,Car
1.3168673041241117e+19,56,Senior,100904,Very High,2_person,married_couple,1,Leisure & Wellness/Gym,Public_transport
1.1490919480929942e+19,24,Young Adult,40405,Moderate,2_person,nonfamily_single,0,Hotel/Hotel and Lodging,Public_transport
1.877847053251901e+17,32,Adult,61887,High,4_person,nonfamily_single,0,Hotel/Hotel and Lodging,Public_transport
7.349887035698683e+18,40,Adult,0,Debt,7_plus_person,married_couple,1,Leisure & Wellness/Gym,Walking
4.302585594980822e+18,66,Elderly,54101,Moderate,2_person,married_couple,2,Cultural/Museum,Car
7.778410259184901e+18,30,Young Adult,15556,Low,2_person,married_couple,1,Cultural/Museum,Public_transport
1.2894728762297014e+19,95,Elderly,55366,Moderate,1_person,living_alone,1,Entertainment/Zoos and Nature Parks,Car
1.2976178820579764e+19,56,Senior,9016,Low,2_person,family_single,0,Entertainment/Zoos and Nature Parks,Public_transport
1.4279188912413348e+19,74,Elderly,31718,Moderate,1_person,living_alone,1,Leisure & Wellness/Recreation Industries,Public_transport
1.7256211669904562e+19,21,Young Adult,0,Debt,2_person,family_single,0,Leisure & Wellness/Gym,Walking
7.232478598275814e+18,91,Elderly,7980,Low,4_person,married_couple,3_plus,Entertainment/Zoos and Nature Parks,Car
6.048428377000574e+18,69,Elderly,9491,Low,1_person,living_alone,0,Leisure & Wellness/Recreation Industries,Public_transport
4.853138071359895e+18,63,Elderly,10909,Low,2_person,nonfamily_single,1,Leisure & Wellness/Gym,Car
1.6868127441006434e+19,30,Young Adult,0,Debt,1_person,living_alone,0,Leisure & Wellness/Golf Courses,Walking
2.3381464539482286e+18,33,Adult,0,Debt,4_person,married_couple,2,Entertainment/Zoos and Nature Parks,Public_transport
2.86311329708414e+18,20,Young Adult,0,Debt,1_person,living_alone,0,Hotel/Hotel and Lodging,Car
1.0283618447184024e+19,21,Young Adult,26263,Low,1_person,living_alone,3_plus,Leisure & Wellness/Gym,Public_transport
1.631112155046716e+19,68,Elderly,8081,Low,1_person,living_alone,0,Entertainment/Zoos and Nature Parks,Public_transport
1.5960606202110183e+19,28,Young Adult,59039,Moderate,2_person,married_couple,0,Leisure & Wellness/Gym,Public_transport
6.724309187467679e+18,53,Senior,41598,Moderate,2_person,family_single,1,Hotel/Hotel and Lodging,Public_transport
4.1498880206957327e+18,35,Adult,66989,High,2_person,nonfamily_single,2,Leisure & Wellness/Gym,Public_transport
6.75399780865824e+18,76,Elderly,23623,Low,3_person,married_couple,3_plus,Leisure & Wellness/Golf Courses,Car
1.6631574584081312e+19,34,Adult,0,Debt,2_person,married_couple,0,Entertainment/Spectator Sports,Public_transport
1.3518566979989189e+19,77,Elderly,6188,Low,2_person,married_couple,1,Hotel/Hotel and Lodging,Car
8.154702335624093e+18,29,Young Adult,38163,Moderate,1_person,living_alone,0,Entertainment/Zoos and Nature Parks,Walking
