id,desire,description
Desire_7.382229231725216e+18_Shop,Shop,This person wants to Shop
Desire_2.703480938157533e+18_Errands,Errands,This person wants to Errands
Desire_2.8547987841141105e+18_Recreation,Recreation,This person wants to Recreation
Desire_1.733622189327774e+19_Shop,Shop,This person wants to Shop
Desire_1.2755562908315562e+19_Errands,Errands,This person wants to Errands
Desire_1.0048722183318026e+19_Shop,Shop,This person wants to Shop
Desire_1.838787093401515e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.1389131347311313e+19_Recreation,Recreation,This person wants to Recreation
Desire_7.937415820294495e+18_Eat,Eat,This person wants to Eat
Desire_4.3122660171462415e+18_Eat,Eat,This person wants to Eat
Desire_4.14447735413175e+18_Eat,Eat,This person wants to Eat
Desire_6.53540663521365e+18_Other,Other,This person wants to Other
Desire_5.4417170967428864e+17_Recreation,Recreation,This person wants to Recreation
Desire_1.169383651805675e+19_Errands,Errands,This person wants to Errands
Desire_9.86855430277569e+18_Eat,Eat,This person wants to Eat
Desire_1.213683572580063e+19_Shop,Shop,This person wants to Shop
Desire_1.1034514087390897e+18_Recreation,Recreation,This person wants to Recreation
Desire_7.474270263983382e+17_Eat,Eat,This person wants to Eat
Desire_6.734018293969027e+18_Shop,Shop,This person wants to Shop
Desire_8.717109161891187e+17_Recreation,Recreation,This person wants to Recreation
Desire_1.6416438325324843e+19_Eat,Eat,This person wants to Eat
Desire_6.780364553927163e+18_Shop,Shop,This person wants to Shop
Desire_6.630649682305337e+18_Shop,Shop,This person wants to Shop
Desire_1.0967230750168068e+19_School,School,This person wants to School
Desire_1.3970223714876336e+19_Shop,Shop,This person wants to Shop
Desire_3.0285738036378813e+18_Shop,Shop,This person wants to Shop
Desire_2.3544424844647987e+18_Errands,Errands,This person wants to Errands
Desire_1.1464648913238438e+18_Eat,Eat,This person wants to Eat
Desire_1.334914825820808e+19_Recreation,Recreation,This person wants to Recreation
Desire_6.398164561225462e+18_Errands,Errands,This person wants to Errands
Desire_1.6187987903256668e+19_Recreation,Recreation,This person wants to Recreation
Desire_2.115326384001876e+18_Recreation,Recreation,This person wants to Recreation
Desire_1.4677273323967152e+19_Eat,Eat,This person wants to Eat
Desire_6.663277048475791e+18_Shop,Shop,This person wants to Shop
Desire_1.4478627621185362e+19_Eat,Eat,This person wants to Eat
Desire_1.3317118788676487e+19_Shop,Shop,This person wants to Shop
Desire_1.3886716428090198e+19_Eat,Eat,This person wants to Eat
Desire_2.510617954378842e+18_Shop,Shop,This person wants to Shop
Desire_1.5454179178424496e+19_Eat,Eat,This person wants to Eat
Desire_4.2747387929120256e+17_Errands,Errands,This person wants to Errands
Desire_1.4740232497404672e+19_Eat,Eat,This person wants to Eat
Desire_1.4403995405459108e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.208845667961916e+19_Shop,Shop,This person wants to Shop
Desire_5.41129307265518e+18_Shop,Shop,This person wants to Shop
Desire_1.0133671356635896e+19_Eat,Eat,This person wants to Eat
Desire_1.69293525929615e+19_Shop,Shop,This person wants to Shop
Desire_2.4606057464208845e+18_Recreation,Recreation,This person wants to Recreation
Desire_1.609831736707981e+19_Eat,Eat,This person wants to Eat
Desire_1.0290275950066264e+19_Eat,Eat,This person wants to Eat
Desire_4.607273830706455e+18_Shop,Shop,This person wants to Shop
Desire_3.2841931220536776e+18_Shop,Shop,This person wants to Shop
Desire_9.653345123266253e+18_Recreation,Recreation,This person wants to Recreation
Desire_6.634131282441313e+17_Shop,Shop,This person wants to Shop
Desire_1.5479920568582528e+18_Recreation,Recreation,This person wants to Recreation
Desire_1.2899604065349563e+18_Shop,Shop,This person wants to Shop
Desire_3.924244637765218e+18_Eat,Eat,This person wants to Eat
Desire_7.020075904508951e+18_Recreation,Recreation,This person wants to Recreation
Desire_1.413796906731422e+19_Errands,Errands,This person wants to Errands
Desire_1.0553683590340026e+19_Errands,Errands,This person wants to Errands
Desire_1.4745117651548807e+19_Eat,Eat,This person wants to Eat
Desire_1.6081067727313678e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.5970483692108474e+19_Shop,Shop,This person wants to Shop
Desire_7.987313088284036e+18_Eat,Eat,This person wants to Eat
Desire_3.145828470374291e+18_Shop,Shop,This person wants to Shop
Desire_1.1589135015832828e+19_Shop,Shop,This person wants to Shop
Desire_8.245917085904045e+18_Shop,Shop,This person wants to Shop
Desire_2.526453435318128e+18_Errands,Errands,This person wants to Errands
Desire_2.761999862810969e+18_Eat,Eat,This person wants to Eat
Desire_2.4823091468636483e+18_Shop,Shop,This person wants to Shop
Desire_1.6167971072488088e+19_Errands,Errands,This person wants to Errands
Desire_1.0742300057858611e+19_School,School,This person wants to School
Desire_6.028048422074018e+18_Shop,Shop,This person wants to Shop
Desire_1.3638007437656762e+19_Eat,Eat,This person wants to Eat
Desire_6.089876816686373e+18_Eat,Eat,This person wants to Eat
Desire_5.72696111255003e+18_Eat,Eat,This person wants to Eat
Desire_2.6239099567055155e+18_Errands,Errands,This person wants to Errands
Desire_1.2675860501333885e+19_Recreation,Recreation,This person wants to Recreation
Desire_2.641154609341569e+18_Shop,Shop,This person wants to Shop
Desire_1.1053492097583968e+19_School,School,This person wants to School
Desire_8.152831461701068e+18_Shop,Shop,This person wants to Shop
Desire_1.5290866003409764e+19_Shop,Shop,This person wants to Shop
Desire_6.067705709269845e+18_Errands,Errands,This person wants to Errands
Desire_9.853805892330131e+18_Eat,Eat,This person wants to Eat
Desire_5.466848732032353e+18_Recreation,Recreation,This person wants to Recreation
Desire_5.144039827634586e+18_Eat,Eat,This person wants to Eat
Desire_9.127307500399734e+18_Shop,Shop,This person wants to Shop
Desire_7.492082621696762e+18_Other,Other,This person wants to Other
Desire_1.4213593359902308e+19_Other,Other,This person wants to Other
Desire_1.1382766689615403e+19_Eat,Eat,This person wants to Eat
Desire_9.269974523336714e+18_Shop,Shop,This person wants to Shop
Desire_1.2935987586602449e+19_Eat,Eat,This person wants to Eat
Desire_6.591370053444356e+18_Shop,Shop,This person wants to Shop
Desire_1.5679480203241796e+19_Shop,Shop,This person wants to Shop
Desire_1.250638459476621e+19_Eat,Eat,This person wants to Eat
Desire_5.749553361659547e+18_Shop,Shop,This person wants to Shop
Desire_1.255081492635327e+19_Eat,Eat,This person wants to Eat
Desire_1.776041642877362e+19_Errands,Errands,This person wants to Errands
Desire_3.6879203884944886e+18_Eat,Eat,This person wants to Eat
Desire_1.0042779863523529e+19_Eat,Eat,This person wants to Eat
Desire_2.320230294610451e+18_Shop,Shop,This person wants to Shop
Desire_1.4523926379001434e+18_Errands,Errands,This person wants to Errands
Desire_3.1260396308750643e+18_Shop,Shop,This person wants to Shop
Desire_1.5663972210261582e+19_Errands,Errands,This person wants to Errands
Desire_1.3130927318655089e+19_School,School,This person wants to School
Desire_1.5621741157525166e+19_Shop,Shop,This person wants to Shop
Desire_7.002558450787813e+18_Shop,Shop,This person wants to Shop
Desire_4.552508868169424e+18_Eat,Eat,This person wants to Eat
Desire_1.56195999208817e+18_Eat,Eat,This person wants to Eat
Desire_8.440089706747276e+17_Shop,Shop,This person wants to Shop
Desire_5.395304986359441e+18_Errands,Errands,This person wants to Errands
Desire_9.910068100218776e+18_Eat,Eat,This person wants to Eat
Desire_1.0670756489458664e+18_Eat,Eat,This person wants to Eat
Desire_7.564782249592764e+17_Errands,Errands,This person wants to Errands
Desire_2.7383680936404244e+18_Eat,Eat,This person wants to Eat
Desire_3.296436594150445e+17_Recreation,Recreation,This person wants to Recreation
Desire_1.5406046936723917e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.0980550371115908e+18_Shop,Shop,This person wants to Shop
Desire_1.3654990370068865e+19_Shop,Shop,This person wants to Shop
Desire_1.1258779183672846e+19_Recreation,Recreation,This person wants to Recreation
Desire_4.759858339645782e+18_Eat,Eat,This person wants to Eat
Desire_1.115106951799119e+19_Shop,Shop,This person wants to Shop
Desire_5.09850635689209e+17_Errands,Errands,This person wants to Errands
Desire_1.407546735117838e+19_Eat,Eat,This person wants to Eat
Desire_7.206571139506577e+18_Eat,Eat,This person wants to Eat
Desire_3.0242588970131256e+18_Shop,Shop,This person wants to Shop
Desire_5.233321194342665e+18_Eat,Eat,This person wants to Eat
Desire_6.560869858584433e+18_Shop,Shop,This person wants to Shop
Desire_6.762155440608415e+18_Shop,Shop,This person wants to Shop
Desire_3.653712829653903e+18_Shop,Shop,This person wants to Shop
Desire_1.5999021937170268e+19_Eat,Eat,This person wants to Eat
Desire_1.1866901592344386e+19_Shop,Shop,This person wants to Shop
Desire_1.3363185920642173e+19_Shop,Shop,This person wants to Shop
Desire_2.404445282701026e+18_Errands,Errands,This person wants to Errands
Desire_1.3485976855101893e+19_Eat,Eat,This person wants to Eat
Desire_1.4515790359064062e+19_Eat,Eat,This person wants to Eat
Desire_5.41013151545254e+18_Eat,Eat,This person wants to Eat
Desire_5.845723563320323e+17_Errands,Errands,This person wants to Errands
Desire_1.0921156671525482e+19_Eat,Eat,This person wants to Eat
Desire_1.30039224887858e+19_Eat,Eat,This person wants to Eat
Desire_7.781808491801426e+18_Eat,Eat,This person wants to Eat
Desire_9.855152622413636e+18_Errands,Errands,This person wants to Errands
Desire_2.975366532520694e+18_Recreation,Recreation,This person wants to Recreation
Desire_1.012494709850756e+17_Other,Other,This person wants to Other
Desire_3.2743890445178307e+18_Eat,Eat,This person wants to Eat
Desire_4.650437803877758e+18_Errands,Errands,This person wants to Errands
Desire_2.6778136656303657e+18_Shop,Shop,This person wants to Shop
Desire_1.0974055604146629e+19_Eat,Eat,This person wants to Eat
Desire_5.158516427673431e+18_Eat,Eat,This person wants to Eat
Desire_1.3551435632772106e+19_Errands,Errands,This person wants to Errands
Desire_1.105253604901669e+19_Eat,Eat,This person wants to Eat
Desire_1.8120661837833497e+19_Recreation,Recreation,This person wants to Recreation
Desire_6.771769395675426e+18_Errands,Errands,This person wants to Errands
Desire_7.669664760400075e+18_Eat,Eat,This person wants to Eat
Desire_1.5787842096437197e+19_Eat,Eat,This person wants to Eat
Desire_4.5287106197846646e+18_Eat,Eat,This person wants to Eat
Desire_9.727996438542682e+18_Eat,Eat,This person wants to Eat
Desire_3.572742756894145e+18_Errands,Errands,This person wants to Errands
Desire_2.9006388142003994e+18_Eat,Eat,This person wants to Eat
Desire_1.7071755562873104e+19_Errands,Errands,This person wants to Errands
Desire_2.858367056987011e+18_Shop,Shop,This person wants to Shop
Desire_1.486840526574811e+19_Eat,Eat,This person wants to Eat
Desire_8.318221787982535e+18_Recreation,Recreation,This person wants to Recreation
Desire_5.885596422118945e+18_Eat,Eat,This person wants to Eat
Desire_1.61461003726572e+19_Eat,Eat,This person wants to Eat
Desire_1.1295919025447256e+19_Shop,Shop,This person wants to Shop
Desire_8.410755839715186e+18_Shop,Shop,This person wants to Shop
Desire_1.524899473841741e+19_Shop,Shop,This person wants to Shop
Desire_1.3300598421975144e+19_Shop,Shop,This person wants to Shop
Desire_2.801349855295783e+18_Eat,Eat,This person wants to Eat
Desire_7.111596322557911e+18_Eat,Eat,This person wants to Eat
Desire_2.978020483030418e+18_School,School,This person wants to School
Desire_8.961598713339646e+18_Shop,Shop,This person wants to Shop
Desire_1.3516471981907266e+19_Eat,Eat,This person wants to Eat
Desire_1.4766628431902277e+18_Shop,Shop,This person wants to Shop
Desire_2.8288335881442723e+17_Errands,Errands,This person wants to Errands
Desire_2.328313746614015e+18_Eat,Eat,This person wants to Eat
Desire_8.576114055105629e+18_Errands,Errands,This person wants to Errands
Desire_8.920060703279704e+18_Eat,Eat,This person wants to Eat
Desire_4.4022541144325965e+17_Shop,Shop,This person wants to Shop
Desire_1.60817378634579e+18_Eat,Eat,This person wants to Eat
Desire_1.761515239454696e+19_Eat,Eat,This person wants to Eat
Desire_1.728373018650593e+18_Eat,Eat,This person wants to Eat
Desire_8.469840666440331e+18_Recreation,Recreation,This person wants to Recreation
Desire_2.783161335771998e+18_Eat,Eat,This person wants to Eat
Desire_9.19771649663712e+18_Recreation,Recreation,This person wants to Recreation
Desire_2.825517756453221e+18_Eat,Eat,This person wants to Eat
Desire_1.2892728353283916e+19_Eat,Eat,This person wants to Eat
Desire_5.521012406663763e+18_Eat,Eat,This person wants to Eat
Desire_8.435687719770904e+18_Shop,Shop,This person wants to Shop
Desire_1.3794151374348118e+19_Shop,Shop,This person wants to Shop
Desire_1.5302156277439834e+19_Errands,Errands,This person wants to Errands
Desire_1.4353815298157594e+18_Shop,Shop,This person wants to Shop
Desire_1.7641833399874224e+19_Shop,Shop,This person wants to Shop
Desire_1.686988551330379e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.5345821358740976e+19_Eat,Eat,This person wants to Eat
Desire_1.6524996103007896e+19_Errands,Errands,This person wants to Errands
Desire_1.721902108724227e+19_Eat,Eat,This person wants to Eat
Desire_1.3246487824981234e+19_Eat,Eat,This person wants to Eat
Desire_1.733158023767403e+19_Eat,Eat,This person wants to Eat
Desire_1.6564546542542072e+19_Eat,Eat,This person wants to Eat
Desire_1.2156345244006498e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.1867580147380906e+19_Shop,Shop,This person wants to Shop
Desire_1.7356393954669853e+19_Eat,Eat,This person wants to Eat
Desire_1.5837924531003066e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.444429185266725e+19_Recreation,Recreation,This person wants to Recreation
Desire_6.076699645053753e+18_Eat,Eat,This person wants to Eat
Desire_1.6437831181582635e+19_Other,Other,This person wants to Other
Desire_1.041207061518097e+19_Eat,Eat,This person wants to Eat
Desire_5.7564891226093786e+17_Eat,Eat,This person wants to Eat
Desire_3.12343037821503e+18_Errands,Errands,This person wants to Errands
Desire_1.5162459324131446e+18_Errands,Errands,This person wants to Errands
Desire_1.1878870600560988e+19_Shop,Shop,This person wants to Shop
Desire_5.970434599400098e+18_Errands,Errands,This person wants to Errands
Desire_8.668097644323609e+18_Recreation,Recreation,This person wants to Recreation
Desire_1.2045614433098242e+19_School,School,This person wants to School
Desire_1.3918527483414604e+19_Eat,Eat,This person wants to Eat
Desire_1.312385284479524e+18_Shop,Shop,This person wants to Shop
Desire_1.380610249077884e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.637162219332371e+19_Recreation,Recreation,This person wants to Recreation
Desire_2.487956454051152e+18_Eat,Eat,This person wants to Eat
Desire_1.273930442360301e+19_Eat,Eat,This person wants to Eat
Desire_3.564720168942971e+18_Eat,Eat,This person wants to Eat
Desire_1.1276916464690977e+19_Shop,Shop,This person wants to Shop
Desire_8.03764507597447e+17_Shop,Shop,This person wants to Shop
Desire_2.6255105675342577e+18_School,School,This person wants to School
Desire_2.641505075712976e+18_Errands,Errands,This person wants to Errands
Desire_1.5431927114694218e+19_Shop,Shop,This person wants to Shop
Desire_9.039264135513294e+18_Shop,Shop,This person wants to Shop
Desire_4.701670807736002e+18_School,School,This person wants to School
Desire_1.066435798613726e+19_Errands,Errands,This person wants to Errands
Desire_1.767117113188898e+19_Errands,Errands,This person wants to Errands
Desire_1.3364584664653134e+19_Errands,Errands,This person wants to Errands
Desire_1.038027433728352e+19_Eat,Eat,This person wants to Eat
Desire_1.5557683428683276e+19_Shop,Shop,This person wants to Shop
Desire_1.847069974938225e+18_Eat,Eat,This person wants to Eat
Desire_1.6686491799211704e+19_Recreation,Recreation,This person wants to Recreation
Desire_3.7391348863453245e+18_Recreation,Recreation,This person wants to Recreation
Desire_3.775889985027957e+18_Recreation,Recreation,This person wants to Recreation
Desire_1.2234982565922566e+19_Errands,Errands,This person wants to Errands
Desire_1.0431086368476035e+19_Eat,Eat,This person wants to Eat
Desire_5.082472187821226e+18_School,School,This person wants to School
Desire_4.644311570562016e+18_Eat,Eat,This person wants to Eat
Desire_1.3368598351132406e+19_Eat,Eat,This person wants to Eat
Desire_9.846583910142708e+18_Eat,Eat,This person wants to Eat
Desire_1.2863681651173226e+19_Recreation,Recreation,This person wants to Recreation
Desire_8.854122060651395e+18_Shop,Shop,This person wants to Shop
Desire_1.3449027492928068e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.3266071747657592e+17_Eat,Eat,This person wants to Eat
Desire_1.326341779854978e+19_Eat,Eat,This person wants to Eat
Desire_9.54409544009793e+18_Errands,Errands,This person wants to Errands
Desire_1.6306970330916393e+19_Eat,Eat,This person wants to Eat
Desire_1.8384135995545124e+18_Recreation,Recreation,This person wants to Recreation
Desire_1.8344418348026192e+19_Eat,Eat,This person wants to Eat
Desire_3.782717509690173e+18_Eat,Eat,This person wants to Eat
Desire_1.4361491187015262e+19_Recreation,Recreation,This person wants to Recreation
Desire_4.358009518067831e+18_Eat,Eat,This person wants to Eat
Desire_8.473053135355255e+18_Eat,Eat,This person wants to Eat
Desire_1.2224011727035077e+19_Recreation,Recreation,This person wants to Recreation
Desire_6.172929302720324e+18_Recreation,Recreation,This person wants to Recreation
Desire_1.6260700499035054e+18_Eat,Eat,This person wants to Eat
Desire_2.2965883174559887e+18_Shop,Shop,This person wants to Shop
Desire_1.2818597909113537e+19_Recreation,Recreation,This person wants to Recreation
Desire_4.528510669881105e+18_Eat,Eat,This person wants to Eat
Desire_7.743310538846403e+18_Eat,Eat,This person wants to Eat
Desire_1.2840096693408362e+19_School,School,This person wants to School
Desire_9.31136982616168e+18_Eat,Eat,This person wants to Eat
Desire_1.0737677330909284e+19_Shop,Shop,This person wants to Shop
Desire_1.1847481556323713e+19_Shop,Shop,This person wants to Shop
Desire_2.498145247941312e+18_Errands,Errands,This person wants to Errands
Desire_1.170769753084451e+19_Shop,Shop,This person wants to Shop
Desire_1.780012940321989e+19_Shop,Shop,This person wants to Shop
Desire_1.2385581294463349e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.3199269728532482e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.5838113390882765e+19_Errands,Errands,This person wants to Errands
Desire_6.098483241607982e+17_Recreation,Recreation,This person wants to Recreation
Desire_1.5345477795391214e+19_Eat,Eat,This person wants to Eat
Desire_3.4591124645644614e+17_Eat,Eat,This person wants to Eat
Desire_8.685018627076352e+18_Shop,Shop,This person wants to Shop
Desire_1.0691072004995578e+19_Shop,Shop,This person wants to Shop
Desire_1.38330933600143e+19_Eat,Eat,This person wants to Eat
Desire_1.4124299631129549e+19_Shop,Shop,This person wants to Shop
Desire_5.159775940981806e+18_Eat,Eat,This person wants to Eat
Desire_9.88364166078897e+18_Eat,Eat,This person wants to Eat
Desire_9.98080440252326e+18_Eat,Eat,This person wants to Eat
Desire_8.283852888765289e+18_Errands,Errands,This person wants to Errands
Desire_9.367563397626442e+18_Eat,Eat,This person wants to Eat
Desire_1.671659572534444e+19_Errands,Errands,This person wants to Errands
Desire_7.777709531566038e+17_Eat,Eat,This person wants to Eat
Desire_1.2062821951066894e+19_Eat,Eat,This person wants to Eat
Desire_2.299502710383849e+18_Eat,Eat,This person wants to Eat
Desire_3.607712965832271e+18_Recreation,Recreation,This person wants to Recreation
Desire_3.7547419713765857e+18_Recreation,Recreation,This person wants to Recreation
Desire_1.4179863340141455e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.0154842763449946e+19_Eat,Eat,This person wants to Eat
Desire_3.7891159157843866e+18_Errands,Errands,This person wants to Errands
Desire_4.100123821137356e+18_Errands,Errands,This person wants to Errands
Desire_1.002557955200668e+19_Eat,Eat,This person wants to Eat
Desire_1.2259076584840346e+19_Eat,Eat,This person wants to Eat
Desire_1.282104264172362e+19_Eat,Eat,This person wants to Eat
Desire_7.649028385999322e+18_Recreation,Recreation,This person wants to Recreation
Desire_1.8055895484406508e+19_Eat,Eat,This person wants to Eat
Desire_1.3764574279126624e+19_Eat,Eat,This person wants to Eat
Desire_1.504469019348668e+19_School,School,This person wants to School
Desire_9.527825766567487e+18_Eat,Eat,This person wants to Eat
Desire_1.824802159325726e+19_Recreation,Recreation,This person wants to Recreation
Desire_4.20612503471592e+18_Recreation,Recreation,This person wants to Recreation
Desire_8.406250362095892e+18_Eat,Eat,This person wants to Eat
Desire_2.414002254695485e+18_Shop,Shop,This person wants to Shop
Desire_7.5777687081785e+18_Eat,Eat,This person wants to Eat
Desire_9.54389709862364e+18_Shop,Shop,This person wants to Shop
Desire_1.0044865779661378e+19_Shop,Shop,This person wants to Shop
Desire_1.6015765936223148e+19_Shop,Shop,This person wants to Shop
Desire_1.4973908952681312e+19_Eat,Eat,This person wants to Eat
Desire_1.3532732260856625e+18_Eat,Eat,This person wants to Eat
Desire_7.609284043267205e+16_Shop,Shop,This person wants to Shop
Desire_1.4123342111356602e+19_Shop,Shop,This person wants to Shop
Desire_1.3604547512018342e+19_Other,Other,This person wants to Other
Desire_1.7083997856288172e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.123913264548561e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.2506034592006904e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.1563348618070113e+18_Shop,Shop,This person wants to Shop
Desire_1.6220558656191758e+19_Shop,Shop,This person wants to Shop
Desire_3.329923383406124e+17_Shop,Shop,This person wants to Shop
Desire_1.6169305899649075e+19_Errands,Errands,This person wants to Errands
Desire_2.0768542051174264e+18_Other,Other,This person wants to Other
Desire_1.720710310306004e+19_Errands,Errands,This person wants to Errands
Desire_1.6257138928173416e+19_Eat,Eat,This person wants to Eat
Desire_1.2606120693346535e+19_Errands,Errands,This person wants to Errands
Desire_1.7542612314295114e+19_Shop,Shop,This person wants to Shop
Desire_1.4244005197881522e+19_Errands,Errands,This person wants to Errands
Desire_1.0558192554984104e+19_Other,Other,This person wants to Other
Desire_1.3985727498765027e+19_Recreation,Recreation,This person wants to Recreation
Desire_7.872408849988941e+18_Shop,Shop,This person wants to Shop
Desire_1.3285265061043087e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.4138421667247972e+19_Eat,Eat,This person wants to Eat
Desire_5.452385231415181e+18_Eat,Eat,This person wants to Eat
Desire_1.3902932074883877e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.5747762351201083e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.2440221233683997e+19_Eat,Eat,This person wants to Eat
Desire_4.5205580868388495e+18_Shop,Shop,This person wants to Shop
Desire_1.6443020787247944e+19_Errands,Errands,This person wants to Errands
Desire_7.6488019906147e+18_Eat,Eat,This person wants to Eat
Desire_6.874664165691084e+18_Eat,Eat,This person wants to Eat
Desire_3.256675065776065e+17_Eat,Eat,This person wants to Eat
Desire_1.1942983256376844e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.8368422791140583e+19_Eat,Eat,This person wants to Eat
Desire_6.557999081478646e+18_Eat,Eat,This person wants to Eat
Desire_3.103878462698837e+18_Shop,Shop,This person wants to Shop
Desire_5.030159084645347e+16_Eat,Eat,This person wants to Eat
Desire_7.858508194727851e+18_Errands,Errands,This person wants to Errands
Desire_4.687867412075578e+17_Recreation,Recreation,This person wants to Recreation
Desire_1.293806331978502e+19_Shop,Shop,This person wants to Shop
Desire_1.1973506305514952e+18_Errands,Errands,This person wants to Errands
Desire_1.0604300372519844e+19_Recreation,Recreation,This person wants to Recreation
Desire_3.760100228415403e+18_Eat,Eat,This person wants to Eat
Desire_1.0655854781664076e+19_Errands,Errands,This person wants to Errands
Desire_1.6922801363847811e+19_Eat,Eat,This person wants to Eat
Desire_4.1213593386232576e+17_Recreation,Recreation,This person wants to Recreation
Desire_6.426811016538642e+18_Shop,Shop,This person wants to Shop
Desire_8.073485315167018e+18_Recreation,Recreation,This person wants to Recreation
Desire_3.989857577353382e+18_School,School,This person wants to School
Desire_1.4998937506168418e+19_Eat,Eat,This person wants to Eat
Desire_1.7409631072609736e+18_Eat,Eat,This person wants to Eat
Desire_1.7196889707997628e+19_Eat,Eat,This person wants to Eat
Desire_1.0211143819911504e+19_Eat,Eat,This person wants to Eat
Desire_3.143754816271501e+18_Shop,Shop,This person wants to Shop
Desire_1.5433648318334996e+19_Shop,Shop,This person wants to Shop
Desire_1.589943113211983e+19_Shop,Shop,This person wants to Shop
Desire_1.3493719364692498e+19_Shop,Shop,This person wants to Shop
Desire_1.0487469283161663e+19_Recreation,Recreation,This person wants to Recreation
Desire_1.6362854816353927e+19_Eat,Eat,This person wants to Eat
Desire_8.421884105504885e+18_Errands,Errands,This person wants to Errands
Desire_6.318681793188302e+16_Eat,Eat,This person wants to Eat
Desire_1.5834096605608745e+19_Eat,Eat,This person wants to Eat
Desire_1.8253890946541268e+18_Shop,Shop,This person wants to Shop
Desire_2.880118963720633e+18_Shop,Shop,This person wants to Shop
Desire_3.1379972996604493e+18_Work,Work,This person wants to Work
Desire_1.0946016398183231e+19_Shop,Shop,This person wants to Shop
Desire_1.5976110582200568e+19_Eat,Eat,This person wants to Eat
Desire_1.1714793893941109e+19_Eat,Eat,This person wants to Eat
Desire_1.5375077255326417e+19_Eat,Eat,This person wants to Eat
Desire_9.211195629524728e+18_Errands,Errands,This person wants to Errands
Desire_3.470317764835228e+18_Eat,Eat,This person wants to Eat
Desire_8.64947460483731e+18_Shop,Shop,This person wants to Shop
Desire_1.4703413346156247e+19_School,School,This person wants to School
Desire_2.710398647354176e+18_Shop,Shop,This person wants to Shop
